Reading data until stopped:
Time;airTMP;soilTMP;airHUM;soilHUM;light
507;18.3;19.7;29.0;99.2;3.4;
508;18.3;19.6;29.0;99.2;4.1;
509;18.3;19.7;29.0;99.2;3.4;
510;18.3;19.5;29.0;99.2;3.9;
511;18.3;19.7;29.0;99.2;3.5;
512;18.3;19.8;29.1;99.2;4.1;
513;18.3;19.4;29.1;99.2;3.5;
514;18.4;19.8;29.1;99.2;3.9;
515;18.3;19.6;29.1;99.2;3.4;
516;18.3;19.8;29.1;99.2;4.1;
517;18.3;19.6;29.1;99.2;3.5;
518;18.3;19.5;29.1;99.2;4.1;
519;18.3;19.8;29.1;99.2;3.4;
520;18.3;19.6;29.1;99.3;4.1;
521;18.3;19.7;29.1;99.2;3.6;
522;18.3;19.7;29.1;99.3;3.9;
523;18.3;19.1;29.1;99.3;3.4;
524;18.3;19.9;29.1;99.3;4.1;
525;18.3;19.5;29.1;99.3;3.6;
526;18.4;19.7;29.1;99.3;4.1;
527;18.3;19.7;29.1;99.3;3.7;
528;18.3;19.4;29.1;99.3;4.1;
529;18.3;19.3;29.1;99.3;3.4;
530;18.3;19.7;29.1;99.3;4.1;
531;18.3;19.4;29.1;99.2;3.5;
532;18.3;19.6;29.1;99.3;4.1;
533;18.3;19.6;29.1;99.3;3.5;
534;18.3;19.8;29.1;99.3;4.1;
535;18.3;19.6;29.1;99.3;3.5;
536;18.3;19.7;29.1;99.3;4.2;
537;18.3;19.6;29.1;99.3;3.5;
538;18.4;19.6;29.1;99.3;4.1;
539;18.4;19.6;29.1;99.3;3.5;
540;18.3;19.7;29.1;99.3;4.1;
541;18.3;19.7;29.1;99.3;3.5;
542;18.3;19.8;29.1;99.3;3.9;
543;18.3;19.4;29.1;99.3;3.5;
544;18.3;19.4;29.1;99.3;3.9;
545;18.3;19.4;29.2;99.3;3.4;
546;18.3;19.4;29.2;99.3;4.1;
547;18.3;19.6;29.2;99.3;3.4;
548;18.3;19.3;29.2;99.3;4.1;
549;18.3;19.6;29.2;99.3;3.5;
550;18.3;19.7;29.2;99.3;4.1;
551;18.3;19.6;29.2;99.3;3.4;
552;18.4;19.9;29.2;99.3;4.1;
553;18.3;19.5;29.2;99.3;3.5;
554;18.3;19.4;29.2;99.3;3.9;
555;18.3;19.3;29.2;99.3;3.4;
556;18.3;19.7;29.2;99.3;4.1;
557;18.3;19.7;29.2;99.3;3.7;
558;18.3;19.5;29.2;99.3;3.9;
559;18.3;19.4;29.2;99.3;3.5;
560;18.3;19.6;29.2;99.2;4.1;
561;18.3;19.8;29.2;99.2;3.5;
562;18.3;19.4;29.2;99.3;4.1;
563;18.3;19.0;29.2;99.2;3.5;
564;18.3;19.9;29.2;99.2;3.9;
565;18.4;19.4;29.2;99.2;3.4;
566;18.3;19.6;29.2;99.2;4.1;
567;18.3;19.2;29.2;99.3;3.5;
568;18.4;19.3;29.2;99.2;3.8;
569;18.3;19.5;29.2;99.2;3.4;
570;18.3;19.6;29.2;99.2;3.8;
571;18.3;19.5;29.2;99.2;3.3;
572;18.3;19.6;29.2;99.2;3.9;
573;18.3;19.4;29.2;99.2;3.4;
574;18.3;19.7;29.2;99.2;3.8;
575;18.3;19.6;29.2;99.2;3.5;
576;18.3;19.6;29.2;99.2;3.8;
577;18.3;19.4;29.2;99.2;3.4;
578;18.3;19.9;29.2;99.2;4.1;
579;18.3;19.6;29.3;99.2;3.4;
580;18.3;19.7;29.3;99.3;3.9;
581;18.3;19.6;29.3;99.3;3.4;
582;18.3;19.6;29.3;99.3;3.8;
583;18.3;19.4;29.3;99.2;3.4;
584;18.3;19.4;29.3;99.3;3.8;
585;18.3;19.5;29.3;99.3;3.4;
586;18.3;19.3;29.2;99.3;3.8;
587;18.3;19.7;29.2;99.3;3.4;
588;18.3;19.6;29.2;99.3;3.9;
589;18.3;19.4;29.2;99.3;3.4;
590;18.3;19.7;29.2;99.3;3.9;
591;18.4;19.5;29.2;99.3;3.4;
592;18.4;19.7;29.3;99.2;4.1;
593;18.3;19.2;29.2;99.3;3.7;
594;18.3;19.2;29.2;99.3;4.1;
595;18.3;19.9;29.2;99.3;3.5;
596;18.3;19.8;29.2;99.3;4.1;
597;18.3;19.5;29.2;99.2;3.5;
598;18.3;19.7;29.2;99.3;3.9;
599;18.3;19.6;29.3;99.3;3.4;
